id,level,display_name,llm_annotation
C2780645631,2,Stroke (engine),Engineering
C2779951463,2,Quality of life (healthcare),Medicine
C207103383,3,Hazard ratio,Medicine
C105795698,1,Statistics,Mathematics
C115624301,2,Crystal structure,Materials science
C126255220,1,Mathematical optimization,Mathematics
C159110408,1,Nursing,Medicine
C98045186,2,Process (computing),Computer science
C523546767,2,Bacteria,Biology
C94915269,2,Detector,Physics
C2777289219,2,Substrate (aquarium),Biology
C111368507,1,Oceanography,Environmental science
C149782125,1,Econometrics,Economics
C509974204,2,Radiation therapy,Medicine
C52859227,3,Electrochemistry,Chemistry
C140205800,3,Carbon fibers,Materials science
C150394285,2,Adsorption,Chemistry
C87976508,2,Microstructure,Materials science
C3007834351,5,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Medicine
C57863236,2,Doping,Medicine
C2780221984,2,Body mass index,Medicine
C2778348673,2,Production (economics),Economics
C78458016,1,Evolutionary biology,Biology
C135763542,3,Genotype,Biology
C150846664,2,Stars,Physics
C143409427,2,Magnetic resonance imaging,Medicine
C159467904,1,Chemical physics,Physics
C136764020,1,World Wide Web,Computer science
C500558357,2,Myocardial infarction,Medicine
C136525101,3,Fabrication,Engineering
C138496976,1,Developmental psychology,Psychology
C140793950,1,Animal science,Biology
C62112901,2,Cell growth,Biology
C76886044,2,Hydrology (agriculture),Environmental science
C544956773,2,Silicon,Materials science
C143065580,3,Mutant,Biology
C526805850,3,Colorectal cancer,Medicine
C2780091579,2,Kidney,Medicine
C3006700255,3,2019-20 coronavirus outbreak,Medicine
C121864883,1,Statistical physics,Physics
C197934379,2,Adverse effect,Medicine
C552990157,2,DNA,Biology
C114614502,1,Combinatorics,Mathematics
C50644808,2,Artificial neural network,Computer science
C184651966,2,Aqueous solution,Chemistry
C165801399,2,Voltage,Physics
C17525397,2,Electrode,Engineering
C87668248,2,Large Hadron Collider,Physics
C19694890,2,Hadron,Physics
C2778755073,2,Scale (ratio),Mathematics
C2779530757,2,Quality (philosophy),Philosophy
C2776256026,2,Lung cancer,Medicine
C132651083,2,Climate change,Environmental science
C38349280,2,Flow (mathematics),Mathematics
C3013748606,2,Human immunodeficiency virus (HIV),Medicine
C2779013556,3,Metastasis,Medicine
C116569031,3,Ligand (biochemistry),Biology
C17409809,1,Geochemistry,Geology
C9652623,2,Field (mathematics),Mathematics
C120314980,1,Distributed computing,Computer science
C146357865,2,Stage (stratigraphy),Geology
C39549134,1,Public relations,Business
C2780035454,2,Drug,Medicine
C118487528,1,Ophthalmology,Medicine
C77805123,1,Social psychology,Psychology
C145420912,1,Mathematics education,Mathematics
C107457646,1,Human–computer interaction,Computer science
C161191863,1,Library science,Sociology
C41625074,2,Membrane,Biology
C32891209,2,Spectroscopy,Physics
C2781197716,2,Biomarker,Medicine
C548259974,1,Audiology,Medicine
C84114770,2,Quantum,Physics
C49204034,1,Climatology,Environmental science
C42704618,2,Spin (aerodynamics),Engineering
C201903717,2,Cohort study,Medicine
C135628077,2,Finite element method,Engineering
C97355855,1,Thermodynamics,Physics
C85080765,2,Photoluminescence,Physics
C52119013,1,Art history,Art
C555944384,2,Wireless,Engineering
C32546565,3,Magnetization,Physics
C2778461978,2,Leukemia,Medicine
C180754005,3,Allele,Biology
C30475298,1,Computational physics,Physics
C37914503,1,Mathematical physics,Physics
C104779481,2,Composite number,Mathematics
C50382708,2,Proportional hazards model,Mathematics
C199539241,1,Law,Political science
C2780007613,2,Bone marrow,Medicine
C134362201,2,Mental health,Psychology
C50440223,2,Risk factor,Medicine
C152365726,2,Density functional theory,Physics
C26760741,2,Perception,Psychology
C42407357,1,Physiology,Biology
C2775924081,2,Control (management),Business
C68801617,3,Electrolyte,Chemistry
C96232424,3,Cancer cell,Biology
C2779306644,2,Insulin,Medicine
C119599485,1,Electrical engineering,Engineering
C545542383,1,Medical emergency,Medicine
C761482,2,Transmission (telecommunications),Engineering
C501593827,2,Antibiotics,Medicine
C2776151105,2,Oxidative stress,Medicine
C2779851234,2,Oxide,Chemistry
C54101563,2,Superconductivity,Physics
C40003534,2,Raman spectroscopy,Physics
C124101348,1,Data mining,Computer science
C2780192828,3,Prostate cancer,Medicine
C555283112,3,Carcinogenesis,Medicine
C116834253,2,Identification (biology),Biology
C2779328170,2,X-ray,Physics
C204232928,2,Immunohistochemistry,Medicine
C188816634,2,Prospective cohort study,Medicine
C89623803,5,Pandemic,Medicine
C558461103,2,Anxiety,Psychology
C164866538,2,Cluster (spacecraft),Engineering
C66938386,1,Structural engineering,Engineering
C2780665704,2,Intervention (counseling),Psychology
C62520636,1,Quantum mechanics,Physics
C29694066,1,Orthodontics,Medicine
C2778653478,2,Kidney disease,Medicine
C191486275,2,Scattering,Physics
C16685009,1,Andrology,Medicine
C29730261,2,Toxicity,Medicine
C2777546739,2,Carcinoma,Medicine
C56739046,1,Knowledge management,Business
C86339819,3,Transcription factor,Biology
C82217956,2,Ferromagnetism,Physics
C2777180221,3,Type 2 diabetes,Medicine
C2779281246,2,Peptide,Chemistry
C159641895,2,Renal function,Medicine
C153209595,4,Single-nucleotide polymorphism,Biology
C556758197,1,Monetary economics,Economics
C108583219,2,Deep learning,Computer science
C548081761,1,Waste management,Environmental science
C67705224,3,RNA,Biology
C154317977,3,Cytotoxic T cell,Biology
C110872660,2,Ecosystem,Environmental science
C2776799497,2,Surface (topology),Mathematics
C46460574,2,Branching fraction,Physics
C48103436,2,State (computer science),Computer science
C2778690821,2,Cytokine,Biology
C62478195,2,Signal transduction,Biology
C159750122,2,Soil water,Environmental science
C2776090121,3,T cell,Biology
C2778004101,2,Antioxidant,Chemistry
C2778213512,2,Coronary artery disease,Medicine
C556039675,1,Traditional medicine,Medicine
C133386390,2,Dielectric,Physics
C200006409,2,Meson,Physics
C505870484,1,Fishery,Environmental science
C528095902,1,Pulp and paper industry,Engineering
C2777267654,2,Test (biology),Biology
C31760486,3,Phases of clinical research,Medicine
C204530211,2,Thermal,Physics
C23123220,1,Information retrieval,Computer science
C99498987,3,Noise (video),Computer science
C91881484,2,Fluorescence,Physics
C71315377,2,Hormone,Biology
C151956035,2,Logistic regression,Mathematics
C100970517,1,Physical geography,Geography
C2779843651,2,SIGNAL (programming language),Computer science
C149288129,2,Phase transition,Physics
C205049153,2,Polarization (electrochemistry),Chemistry
C159317903,2,Photon,Physics
C119128265,2,Detection limit,Chemistry
C27081682,3,Placebo,Medicine
C143753070,2,Ultrasound,Medicine
C112950240,2,Ultimate tensile strength,Materials science
C21036866,2,Stress (linguistics),Psychology
C127162648,2,Channel (broadcasting),Engineering
C127716648,3,Phenotype,Biology
C2781285689,2,Crystal (programming language),Computer science
C2780026712,2,Alloy,Materials science
C19527891,1,Medical physics,Physics
C2776412080,2,Schizophrenia (object-oriented programming),Computer science
C118518473,2,Agriculture,Environmental science
C2781413609,2,Regimen,Medicine
C78085059,3,Ejection fraction,Medicine
C2780841128,2,Characterization (materials science),Materials science
C33024259,3,Redshift,Physics
C115540264,2,Biomass (ecology),Biology
C145912823,2,Dynamics (music),Art
C181966813,2,Band gap,Physics
C22070199,2,Vaccination,Medicine
C175708663,2,X-ray photoelectron spectroscopy,Physics
C2780451532,2,Task (project management),Business
C148043351,2,Current (fluid),Physics
C110121322,2,Distribution (mathematics),Mathematics
C203479927,2,Controller (irrigation),Engineering
C42972112,1,Veterinary medicine,Medicine
C112705442,2,Pharmacokinetics,Medicine
C168834538,2,Beam (structure),Engineering
C158355884,2,Infrared,Physics
C125287762,2,Absorption (acoustics),Physics
C2777408962,3,Hematopoietic stem cell transplantation,Medicine
C2777904410,2,Software,Computer science
C87355193,1,Astrobiology,Biology
C49774154,1,Multimedia,Computer science
C18762648,2,Work (physics),Physics
C2779227376,2,Layer (electronics),Engineering
C65440619,2,Atmosphere (unit),Physics
C2777391703,3,Insulin resistance,Medicine
C2776820930,2,Artery,Medicine
C184235292,2,Kinase,Biology
C90509273,2,Robot,Engineering
C3116431,1,Public administration,Political science
C151730666,1,Paleontology,Geology
C91375879,1,Environmental planning,Environmental science
C110738630,3,Epitaxy,Materials science
C2779338263,2,Lymphoma,Medicine
C204321447,1,Natural language processing,Computer science
C515207424,2,Amino acid,Chemistry
C166957645,1,Archaeology,History
C95190672,2,Meta-analysis,Medicine
C171146098,1,Automotive engineering,Engineering
C519063684,2,Calcium,Chemistry
C2778517922,2,Particle (ecology),Environmental science
C147789679,1,Physical chemistry,Chemistry
C79794668,2,Heterojunction,Physics
C172680121,3,Fetus,Medicine
C2778376644,3,Gestational age,Medicine
C199343813,1,Dentistry,Medicine
C184720557,2,Topology (electrical circuits),Engineering
C12287442,3,Luminosity,Physics
C179926584,2,Transcription (linguistics),Sociology
C43214815,3,Reliability (semiconductor),Engineering
C41895202,1,Linguistics,Philosophy
C2778022156,2,Strain (injury),Medicine
C94625758,2,Politics,Political science
C61797465,2,Term (time),Mathematics
C111337013,2,Irradiation,Physics
C2779483572,3,Dementia,Medicine
C2779343474,2,Context (archaeology),History
C519885992,2,Fiber,Materials science
C11960822,2,Phosphorylation,Biology
C152568617,2,Neutron,Physics
C2778541603,2,Lithium (medication),Medicine
C138921699,1,Political economy,Political science
C194232370,2,Optical fiber,Engineering
C142853389,2,Association (psychology),Psychology
C185933670,2,Habitat,Biology
C512968161,2,Hydrogen,Chemistry
C2778019345,2,Hepatocellular carcinoma,Medicine
C2778729363,2,Myeloid leukemia,Medicine
C544778455,2,Copper,Chemistry
C6260449,2,Wavelength,Physics
C40700,1,Industrial organization,Economics
C111472728,1,Epistemology,Philosophy
C101454708,3,Standard Model (mathematical formulation),Physics
C69357855,2,Diffusion,Physics
C2522767166,1,Data science,Computer science
C33332235,1,Theoretical physics,Physics
C17991360,2,Tumor necrosis factor alpha,Medicine
C153385146,2,Radiation,Physics
C79403827,1,Real-time computing,Computer science
C4249254,1,Demographic economics,Economics
C162853370,1,Marketing,Business
C2780378061,2,Service (business),Business
C2776235491,3,Prostate,Medicine
C162356407,2,Mass spectrometry,Chemistry
C54516573,2,Proton,Physics
C2780586474,3,Overweight,Medicine
C112972136,2,Stability (learning theory),Computer science
C24998067,2,Stimulation,Psychology
C513720949,2,Carbon nanotube,Materials science
C148869448,2,Luminescence,Physics
C165205528,1,Seismology,Geology
C115961682,2,Image (mathematics),Mathematics
C107054158,2,Precipitation,Environmental science
C17500928,2,Control system,Engineering
C541997718,2,Ischemia,Medicine
C204366326,2,Deformation (meteorology),Environmental science
C19269812,2,Satellite,Engineering
C109159458,3,Haematopoiesis,Biology
C12713177,2,Perspective (graphical),Art
C134121241,2,Yield (engineering),Engineering
C30080830,2,Graphene,Materials science
C2779918689,2,Stimulus (psychology),Psychology
C46973012,3,Gestation,Biology
C178853913,2,Hemodynamics,Medicine
C153294291,1,Meteorology,Environmental science
C46141821,1,Nuclear magnetic resonance,Physics
C73329638,2,Sky,Geography
C171089720,2,Adipose tissue,Biology
C198352243,2,Line (geometry),Mathematics
C193252679,3,Phylogenetic tree,Biology
C191935318,2,China,Geography
C28490314,1,Speech recognition,Computer science
C142052008,2,Cross-sectional study,Medicine
C59593255,2,Molecular dynamics,Physics
C20788544,2,Photonics,Physics
C2777953023,3,Heart rate,Medicine
C58471807,2,Receiver operating characteristic,Medicine
C19417346,1,Pedagogy,Psychology
C2777214474,2,Cirrhosis,Medicine
C62231903,2,Metabolism,Biology
C2778163477,2,Cholesterol,Medicine
C107826830,1,Environmental resource management,Environmental science
C196558001,2,Turbulence,Physics
C115903868,1,Software engineering,Engineering
C160892712,2,Fourier transform infrared spectroscopy,Chemistry
C2780394083,2,Angiogenesis,Biology
C142796444,2,Nutrient,Biology
C10138342,1,Finance,Business
C108225325,2,Semiconductor,Materials science
C181500209,2,Excited state,Physics
C172385210,3,Transistor,Engineering
C163716698,2,Tomography,Medicine
C85725439,2,Anisotropy,Physics
C2776401178,2,Feature (linguistics),Sociology
C41291067,2,Photovoltaic system,Engineering
C109316439,3,Cytotoxicity,Biology
C2777575956,2,Rheumatoid arthritis,Medicine
C131584629,2,Coupling (piping),Engineering
C184748400,2,Physics beyond the Standard Model,Physics
C2777855556,2,Annealing (glass),Materials science
C162317418,4,Transcriptome,Biology
C6648577,2,Porosity,Materials science
C164027704,3,Proinflammatory cytokine,Medicine
C116915560,1,Nuclear engineering,Engineering
C89227174,3,Electric power system,Engineering
C64297162,3,Deposition (geology),Geology
C77411442,2,Urinary system,Medicine
C55587333,1,Engineering ethics,Engineering
C540031477,2,Oxygen,Chemistry
C186187911,2,Nanostructure,Materials science
C58693492,2,Neuroimaging,Medicine
C134132462,2,Ceramic,Materials science
C190385971,3,Injury prevention,Medicine
C127561419,3,Downregulation and upregulation,Biology
C148898269,2,Kinetics,Physics
C66204764,2,Sustainability,Environmental science
C117137515,2,Quantum chromodynamics,Physics
C2779820397,2,Drug delivery,Medicine
C29537977,3,Cell cycle,Biology
C147597530,1,Computational chemistry,Chemistry
C2777701055,3,Immunotherapy,Medicine
C81917197,2,Selection (genetic algorithm),Computer science
C130217890,2,Biodiversity,Biology
C547475151,3,Escherichia coli,Biology
C2779161974,2,Atrial fibrillation,Medicine
C2776042228,2,Asthma,Medicine
C2776107976,3,Tumor microenvironment,Medicine
C51679486,3,DNA sequencing,Biology
C52622490,2,Feature extraction,Computer science
C139210041,2,Resonance (particle physics),Physics
C165838908,2,Calibration,Engineering
C83581075,2,Excitation,Physics
C124657808,2,Quantum dot,Physics
C38652104,1,Computer security,Computer science
C2780827179,2,Retinal,Biology
C2781448156,2,Coating,Materials science
C51244244,2,Planet,Physics
C3017944768,2,Poison control,Medicine
C69990965,2,Electrical resistivity and conductivity,Physics
C2781161787,2,Hippocampus,Biology
C537208039,2,Nitrogen,Chemistry
C80444323,1,Theoretical computer science,Computer science
C14036430,2,Function (biology),Biology
C142462285,3,Viral load,Medicine
C31573885,3,Programmed cell death,Biology
C175605778,1,Natural resource economics,Economics
C203036418,2,Crystallization,Chemistry
C2779959927,2,Skeletal muscle,Biology
C26771246,2,Scanning electron microscope,Engineering
C2775841894,2,Sleep (system call),Computer science
C187155963,2,Occupational safety and health,Medicine
C522805319,2,Electroencephalography,Medicine
C105580179,3,Messenger RNA,Biology
C188573790,2,Renewable energy,Environmental science
C28859421,2,Mitochondrion,Biology
C2775934546,2,Biopsy,Medicine
C4937899,2,Antimicrobial,Medicine
C118615104,1,Discrete mathematics,Mathematics
C94665300,3,Antibiotic resistance,Medicine
C106487976,2,Matrix (chemical analysis),Chemistry
C89611455,2,Mechanism (biology),Biology
C60799052,2,Electric field,Physics
C2778764654,2,Pancreas,Biology
C4725764,2,Extraction (chemistry),Chemistry
C2777914695,2,Pneumonia,Medicine
C187320778,1,Geotechnical engineering,Engineering
C136449434,3,Innate immune system,Biology
C195244886,1,Ancient history,History
C44228677,3,Polymerization,Chemistry
C167672396,3,CD8,Medicine
C81363708,2,Convolutional neural network,Computer science
C2777077863,2,Arthritis,Medicine
C41091548,3,Epigenetics,Biology
C2779345167,2,Aerosol,Environmental science
C125857072,3,Star formation,Physics
C2777075537,2,Liver disease,Medicine
C2780848835,2,Telescope,Physics
C138268822,2,Resolution (logic),Philosophy
C10515644,2,Survival analysis,Mathematics
C198394728,2,Vibration,Physics
C542903549,3,Monoclonal antibody,Medicine
C206094082,2,Pion,Physics
C30481170,3,Chromosome,Biology
C73922627,2,Single crystal,Materials science
C2780400711,3,Percutaneous coronary intervention,Medicine
C2776291640,2,Value (mathematics),Mathematics
C2780378348,2,Ring (chemistry),Chemistry
C74650414,1,Classical mechanics,Physics
C2778572836,2,Space (punctuation),Computer science
C48349386,2,Reactive oxygen species,Chemistry
C54286561,1,Agroforestry,Environmental science
C133731056,1,Control engineering,Engineering
C2780306776,2,Creatinine,Medicine
C20556612,2,Volume (thermodynamics),Physics
C104293457,2,Imaging phantom,Medicine
C40231798,2,Composition (language),Art
C96141758,3,Emission spectrum,Physics
C2777822432,2,In situ,Chemistry
C171056886,2,Regeneration (biology),Biology
C89560881,2,Platelet,Medicine
C92880739,2,Nanocomposite,Materials science
C119947313,2,Jet (fluid),Physics
C75217442,3,Protein kinase B,Biology
C57600042,2,Oxidative phosphorylation,Biology
C116675565,2,Outbreak,Medicine
C132525143,2,Graph,Mathematics
C111335779,2,Reduction (mathematics),Mathematics
C155355069,2,Antiferromagnetism,Physics
C8058405,1,Geophysics,Physics
C207114421,2,Diffraction,Physics
C2779679103,2,Degradation (telecommunications),Engineering
C77088390,1,Database,Computer science
C79974875,2,Cloud computing,Computer science
C179203047,3,Lepton,Physics
C2777382242,2,Index (typography),Art
C78519656,1,Mechanical engineering,Engineering
C2776133958,2,Vegetation (pathology),Medicine
C534529494,2,Respiratory system,Biology
C195094911,1,Process management,Business
C44838205,2,Microwave,Physics
C199360897,1,Programming language,Computer science
C145059251,3,microRNA,Biology
C2775842073,2,Positron emission tomography,Medicine
C30772137,2,Consumption (sociology),Sociology
C7602139,2,Quark,Physics
C2778921608,2,Ventricle,Medicine
C2778938600,3,Agonist,Medicine
C75630572,1,Applied psychology,Psychology
C104819515,3,Colloidal gold,Chemistry
C2780210213,3,Pancreatic cancer,Medicine
C2775936607,2,Tracking (education),Sociology
C197321923,2,Cultivar,Biology
C97137747,1,Forestry,Environmental science
C84597430,3,Locus (genetics),Biology
C2776408679,3,Hepatitis C virus,Medicine
C56052488,2,Amorphous solid,Materials science
C519581460,2,Nitric oxide,Chemistry
C158846371,2,Blood flow,Medicine
C50522688,1,Economic growth,Economics
C3020255362,2,Physical activity,Medicine
C526584372,2,Thyroid,Medicine
C9390403,1,Computer hardware,Computer science
C2777658100,2,Melanoma,Medicine
C21880701,1,Process engineering,Engineering
C2781311116,2,Group (periodic table),Chemistry
C186413461,5,Genetic association,Biology
C2776925932,3,Neurodegeneration,Medicine
C2778818304,2,Rehabilitation,Medicine
C2816523,2,Sediment,Geology
C185429906,2,Estimator,Mathematics
C116515362,3,Tokamak,Physics
C2777093970,2,Retina,Medicine
C201750760,3,Progenitor cell,Biology
C175444787,1,Microeconomics,Economics
C2776455275,2,Hepatitis C,Medicine
C148220186,2,Outcome (game theory),Economics
C521259446,2,Pollution,Environmental science
C112698675,1,Advertising,Business
C112570922,2,Contamination,Environmental science
C2778260677,3,Inflammatory bowel disease,Medicine
C198291218,3,Ionization,Chemistry
C123079801,2,Modulation (music),Art
C2781182431,3,Adenocarcinoma,Medicine
C2780007028,2,Stenosis,Medicine
C105923489,2,Combustion,Chemistry
C86025842,2,Electronic structure,Physics
C96250715,2,Estimation,Mathematics
C200687136,2,Waveguide,Engineering
C130726490,2,Light curve,Physics
C94061648,2,Wastewater,Environmental science
C559116025,2,Air pollution,Environmental science
C2780167933,3,Pulse (music),Art
C114851261,2,Drug resistance,Medicine
C83640560,3,Chromatin,Biology
C50517652,2,Heat transfer,Physics
C2910068830,3,Type 2 Diabetes Mellitus,Medicine
C134560507,1,Environmental economics,Economics
C147080431,2,Microscopy,Physics
C164304813,2,Isotope,Chemistry
C2780165032,2,Energy consumption,Environmental science
C188082385,2,Charge (physics),Physics
C2777303404,2,Convergence (economics),Economics
C73484699,1,Criminology,Sociology
C73555534,2,Cluster analysis,Computer science
C49110097,2,Cathode,Physics
C2776376669,2,Intensive care unit,Medicine
C46362747,2,CMOS,Engineering
C186453547,2,Neutrino,Physics
C107165499,3,Rapidity,Physics
C537181965,2,Sodium,Chemistry
C2780868729,2,Thrombosis,Medicine
C2780897414,2,Star (game theory),Mathematics
C513476851,2,Dopamine,Biology
C2778583881,2,Stent,Medicine
C2780385302,3,Protocol (science),Biology
C173608175,1,Parallel computing,Computer science
C55904794,2,Redox,Chemistry
C68271606,3,Photometry (optics),Physics
C104114177,2,Motion (physics),Physics
C146957229,2,Perfusion,Medicine
C7070889,2,Monolayer,Materials science
C21822782,2,Antenna (radio),Engineering
C110875604,2,The Internet,Computer science
C205334942,2,Muon,Physics
C97029542,3,Protein kinase A,Biology
C535196362,2,Zinc,Chemistry
C100544194,2,Fermentation,Biology
C526869908,3,Suicide prevention,Psychology
C58642233,2,Taxonomy (biology),Biology
C206991015,2,Energy conversion efficiency,Engineering
C2779279991,2,Testosterone (patch),Medicine
C106131492,2,Filter (signal processing),Engineering
C106773901,3,Transition metal,Chemistry
C106208931,5,Genome-wide association study,Biology
C36823959,3,Exon,Biology
C2778754761,2,Lipopolysaccharide,Biology
C47737302,2,Greenhouse gas,Environmental science
C48824518,1,Agricultural economics,Economics
C538909803,3,Glutathione,Biology
C24590314,2,Wireless sensor network,Computer science
C40767141,3,Recombinant DNA,Biology
C31174226,2,Perioperative,Medicine
C79118098,2,Boson,Physics
C2780724011,2,Emergency department,Medicine
C60987743,3,Virulence,Biology
C2776364478,2,Multiple myeloma,Medicine
C45393284,3,Conventional PCI,Computer science
C115343472,3,Global warming,Environmental science
C24169881,2,Phonon,Physics
C2777211547,2,Training (meteorology),Environmental science
C190253527,1,Law and economics,Economics
C198826908,2,Mesenchymal stem cell,Medicine
C175551986,2,Fault (geology),Geology
C57410435,2,Chemical vapor deposition,Materials science
C137403100,2,Ethnic group,Sociology
C74214498,2,Nanowire,Materials science
C518677369,2,Social media,Sociology
C2781066024,2,Alcohol,Chemistry
C124952713,1,Literature,Art
C2780593183,3,Hepatitis B virus,Medicine
C89600930,2,Segmentation,Computer science
C2780578515,3,Metabolic syndrome,Medicine
C68709404,2,Flux (metallurgy),Materials science
C142424586,2,Refractory (planetary science),Geology
C7910260,2,Gamma ray,Physics
C2780026642,2,Urine,Biology
C159390177,1,Soil science,Environmental science
C111309251,2,Cosmic ray,Physics
C27206212,1,Theology,Philosophy
C2780640218,2,Multiple sclerosis,Medicine
