display_name,gpt-4o,claude-3-5-sonnet-20241022,grok-2-1212,gemini-2.0-flash-exp,llama-3.1-nemotron-70b-instruct,majority_vote,confidence,in_model
Rootkit,5,5,5,5,5,5,1.0,True
Labour law,6,17,17,17,17,17,0.8,True
TCP acceleration,5,5,5,5,5,5,1.0,True
Non-local means,5,5,5,5,5,5,1.0,True
Standard Model (mathematical formulation),16,16,16,16,16,16,1.0,True
Third-hand smoke,14,14,14,8,14,14,0.8,True
Radar cross-section,7,16,16,16,7,16,0.6,True
Excretion,2,2,2,2,2,2,1.0,True
Modular design,7,7,7,7,7,7,1.0,True
Gene cassette,2,2,2,2,2,2,1.0,True
Quantum algorithm for linear systems of equations,5,5,5,5,5,5,1.0,True
Price discrimination,6,6,6,6,6,6,1.0,True
Injection locking,7,16,16,16,16,16,0.8,True
Separable partial differential equation,13,13,13,13,13,13,1.0,True
Universal law,15,15,15,15,15,15,1.0,True
State of matter,16,16,16,16,4,16,0.8,True
Proxy voting,17,17,17,17,17,17,1.0,True
cXML,5,5,5,5,5,5,1.0,True
Consignment,3,3,3,3,3,3,1.0,True
Energy harvesting,7,7,7,7,7,7,1.0,True
Organic Rankine cycle,7,7,7,7,7,7,1.0,True
Square-free polynomial,13,13,13,13,13,13,1.0,True
Mathematical modelling of infectious disease,13,13,14,13,13,13,0.8,True
Remote radio head,7,7,7,7,7,7,1.0,True
Receptor tyrosine kinase,2,2,2,2,2,2,1.0,True
Mass transfer coefficient,7,7,7,7,7,7,1.0,True
Calcium ATPase,2,2,2,2,2,2,1.0,True
Tropical monsoon climate,9,9,9,9,9,9,1.0,True
Pseudoscalar,16,16,16,16,16,16,1.0,True
Cross-ratio,13,13,13,13,13,13,1.0,True
Socioemotional selectivity theory,18,18,18,18,18,18,1.0,True
Drive shaft,7,7,7,7,7,7,1.0,True
Minkowski–Bouligand dimension,13,13,13,13,13,13,1.0,True
Rank correlation,13,13,13,13,13,13,1.0,True
Geometric Brownian motion,13,13,13,13,13,13,1.0,True
Income protection insurance,3,3,3,6,3,3,0.8,True
UMTS frequency bands,7,7,7,7,7,7,1.0,True
Motion estimation,5,5,5,5,5,5,1.0,True
Pathophysiology,14,14,14,14,14,14,1.0,True
Diathesis–stress model,18,18,18,18,18,18,1.0,True
AAA proteins,2,2,2,2,2,2,1.0,True
Stellar atmosphere,16,16,16,16,16,16,1.0,True
Electrochromism,12,12,12,12,12,12,1.0,True
Multi-mode optical fiber,7,7,7,7,7,7,1.0,True
Optical amplifier,16,7,16,16,7,16,0.6,True
Localized surface plasmon,16,16,16,16,16,16,1.0,True
Polyacrylamide gel electrophoresis,2,2,2,2,2,2,1.0,True
CCL2,14,2,2,2,2,2,0.8,True
Surface pressure,16,16,16,16,16,16,1.0,True
Grammar school,11,11,11,11,11,11,1.0,True
Klein–Gordon equation,16,16,16,16,16,16,1.0,True
Blackwater,8,8,8,17,8,8,0.8,True
Microcanonical ensemble,16,16,16,16,16,16,1.0,True
Thylakoid,2,2,2,2,2,2,1.0,True
Monte Carlo methods for option pricing,6,13,5,13,13,13,0.6,True
Conditional entropy,13,13,13,13,5,13,0.8,True
Random access,5,5,5,5,5,5,1.0,True
Autoencoder,5,5,5,5,5,5,1.0,True
Emotional conflict,18,18,18,18,18,18,1.0,True
Human interface device,5,5,5,5,5,5,1.0,True
Fungibility,6,6,6,6,6,6,1.0,True
Linguistic relativity,18,15,18,19,18,18,0.6,True
Promoter,2,2,2,2,3,2,0.8,True
Communications system,7,7,7,7,7,7,1.0,True
Dissemination,19,19,19,19,3,19,0.8,True
Tensor product of modules,13,13,13,13,13,13,1.0,True
Moment-generating function,13,13,13,13,13,13,1.0,True
Conscience,15,15,15,15,15,15,1.0,True
Metabolic network,2,2,2,2,2,2,1.0,True
Functional integration,13,13,16,13,16,13,0.6,True
Feature model,5,5,5,5,5,5,1.0,True
Betatron,16,16,16,16,16,16,1.0,True
Epoxide hydrolase,4,2,2,4,4,4,0.6,True
Production engineering,7,7,7,7,7,7,1.0,True
Planar graph,13,13,13,13,13,13,1.0,True
Transverse isotropy,12,12,16,16,16,16,0.6,True
Continuous modelling,13,13,13,13,7,13,0.8,True
Credence good,6,6,6,6,6,6,1.0,True
Multireference configuration interaction,4,4,4,4,4,4,1.0,True
Casimir element,13,13,16,13,13,13,0.8,True
Prescription costs,6,6,14,6,6,6,0.8,True
Philosophy of logic,15,15,15,15,15,15,1.0,True
Hodgkin–Huxley model,2,2,14,2,13,2,0.6,True
Cultural history,11,11,11,11,11,11,1.0,True
Elementary charge,16,16,16,16,16,16,1.0,True
Semidefinite programming,13,13,13,13,13,13,1.0,True
Category of rings,13,13,13,13,13,13,1.0,True
Thyratron,7,7,7,7,7,7,1.0,True
Raman cooling,16,16,16,16,16,16,1.0,True
Pyruvate decarboxylation,4,2,2,2,4,2,0.6,True
Von Neumann entropy,16,16,16,16,16,16,1.0,True
Shotgun sequencing,2,2,2,2,2,2,1.0,True
Cathepsin K,2,14,2,14,2,2,0.6,True
Extinction (optical mineralogy),10,10,10,10,10,10,1.0,True
Manger,11,11,11,11,11,11,1.0,True
Care work,19,19,19,19,19,19,1.0,True
Solid-fuel rocket,7,7,7,7,7,7,1.0,True
Cultural imperialism,19,19,19,19,19,19,1.0,True
GATA3,2,2,2,2,2,2,1.0,True
5-HT6 receptor,14,2,2,14,2,2,0.6,True
CD34,2,2,14,14,2,2,0.6,True
Phase problem,16,16,16,16,16,16,1.0,True
Remote evaluation,5,5,5,5,5,5,1.0,True
Precursor mRNA,2,2,2,2,2,2,1.0,True
σ-finite measure,13,13,13,13,13,13,1.0,True
Thermoluminescence,16,16,16,16,16,16,1.0,True
Heavy meromyosin,2,2,2,2,2,2,1.0,True
Normal distribution,13,13,13,13,13,13,1.0,True
Western Hemisphere Warm Pool,8,9,9,9,8,9,0.6,True
CCL4,2,4,4,2,4,4,0.6,True
Celtic languages,11,11,11,11,11,11,1.0,True
Electromagnetic induction,16,16,16,16,16,16,1.0,True
Immersive technology,5,5,5,5,5,5,1.0,True
CYP8B1,2,2,2,2,2,2,1.0,True
Self-insurance,3,3,3,6,3,3,0.8,True
Perturbation function,13,13,13,13,13,13,1.0,True
Nearest-neighbor chain algorithm,5,5,5,5,5,5,1.0,True
Beacon,9,7,7,7,5,7,0.6,True
Public offering,3,3,3,6,3,3,0.8,True
Occupational therapy,14,14,14,14,14,14,1.0,True
1-planar graph,13,13,13,13,13,13,1.0,True
Supergene (geology),10,10,10,10,10,10,1.0,True
Partition of unity,13,13,13,13,13,13,1.0,True
Bonding in solids,12,4,12,16,16,12,0.4,True
Exponential map (Riemannian geometry),13,13,13,13,13,13,1.0,True
Neurulation,2,2,2,2,2,2,1.0,True
Transgene,2,2,2,2,2,2,1.0,True
International trade and water,6,6,6,6,8,6,0.8,True
Dirichlet eigenvalue,13,13,13,13,13,13,1.0,True
Thermal conductivity measurement,12,12,16,16,16,16,0.6,True
Combinatorial game theory,13,13,13,13,13,13,1.0,True
Herd behavior,18,19,19,19,18,19,0.6,True
Adaptive filter,7,7,7,7,5,7,0.8,True
Carrier signal,7,7,16,7,7,7,0.8,True
Concentration cell,4,4,4,4,4,4,1.0,True
Izod impact strength test,12,12,12,12,12,12,1.0,True
Border cells,2,2,2,2,14,2,0.8,True
AP-1 transcription factor,2,2,2,2,2,2,1.0,True
Dynamometer,7,7,7,7,7,7,1.0,True
Speckle pattern,16,16,16,16,16,16,1.0,True
Incremental decision tree,5,5,5,5,5,5,1.0,True
Thermal science,16,7,7,16,16,16,0.6,True
PMAC,5,5,5,7,7,5,0.6,True
Mutation frequency,2,2,2,2,2,2,1.0,True
Common-mode rejection ratio,7,7,7,7,7,7,1.0,True
Apical ectodermal ridge,2,2,2,2,2,2,1.0,True
Formal system,13,13,13,13,13,13,1.0,True
Alkali–silica reaction,12,12,12,12,12,12,1.0,True
Minkowski addition,13,13,13,13,13,13,1.0,True
Serial port,5,5,5,5,5,5,1.0,True
Round-robin DNS,5,5,5,5,5,5,1.0,True
Chaotropic agent,4,4,4,4,4,4,1.0,True
Nonparametric statistics,13,13,13,13,13,13,1.0,True
Nurse scheduling problem,5,5,5,13,5,5,0.8,True
Call graph,5,5,5,5,5,5,1.0,True
Minkowski inequality,13,13,13,13,13,13,1.0,True
Susceptance,7,7,16,7,16,7,0.6,True
Moment of inertia,16,16,16,16,16,16,1.0,True
Sliding window protocol,5,5,5,5,5,5,1.0,True
Chemical state,4,4,4,4,4,4,1.0,True
Competitive analysis,3,3,3,3,3,3,1.0,True
Recombinase,2,2,2,2,2,2,1.0,True
Classical XY model,16,16,16,16,16,16,1.0,True
GLONASS,9,7,7,7,7,7,0.8,True
Deep hole drilling,7,7,7,7,7,7,1.0,True
Token bus network,5,5,5,5,5,5,1.0,True
Observational learning,18,18,18,18,18,18,1.0,True
Bullet voting,17,17,17,17,17,17,1.0,True
Weighted fair queueing,5,5,5,5,5,5,1.0,True
Implicant,13,5,5,5,5,5,0.8,True
Rydberg matter,16,16,16,16,16,16,1.0,True
Longitudinal static stability,7,7,7,7,7,7,1.0,True
Fourier transform,13,13,13,13,13,13,1.0,True
Form of the Good,15,15,15,15,15,15,1.0,True
Double inverted pendulum,16,7,7,16,16,16,0.6,True
Carreau fluid,7,7,7,7,7,7,1.0,True
Tropical cyclone forecast model,8,5,8,5,8,8,0.6,True
Universal set,13,13,13,13,13,13,1.0,True
MT-RNR1,2,2,2,2,14,2,0.8,True
Vacuole,2,2,2,2,2,2,1.0,True
Flight feather,2,2,2,2,2,2,1.0,True
Follicle,2,2,2,2,2,2,1.0,True
Pore water pressure,10,8,10,10,10,10,0.8,True
Criminal justice,19,19,19,19,17,19,0.8,True
Schur product theorem,13,13,13,13,13,13,1.0,True
Shrinkage estimator,13,13,13,13,13,13,1.0,True
Femtosecond pulse shaping,16,16,16,16,16,16,1.0,True
Legal expert system,5,5,5,5,5,5,1.0,True
Least common multiple,13,13,13,13,13,13,1.0,True
TAF1,2,2,2,2,14,2,0.8,True
Smoothness,13,13,13,13,16,13,0.8,True
Scintillation,16,16,16,16,16,16,1.0,True
Air brake,7,7,7,7,7,7,1.0,True
Gauge covariant derivative,16,16,16,16,16,16,1.0,True
Therapeutic effect,14,14,14,14,14,14,1.0,True
Psychodynamics,18,18,18,18,18,18,1.0,True
Deubiquitinating enzyme,2,2,2,2,2,2,1.0,True
Active networking,5,5,5,5,5,5,1.0,True
Infrared spectroscopy correlation table,4,4,4,4,4,4,1.0,True
Second-order stimulus,18,18,18,18,18,18,1.0,True
Cultural anthropology,19,19,19,19,19,19,1.0,True
Specific surface energy,12,12,16,12,12,12,0.8,True
Ecological niche,2,2,2,2,8,2,0.8,True
Canonical correspondence analysis,8,2,13,8,13,8,0.4,True
Bhatnagar–Gross–Krook operator,16,16,16,16,16,16,1.0,True
Software inspection,5,5,5,5,5,5,1.0,True
Homologous recombination,2,2,2,2,2,2,1.0,True
Endosome,2,2,2,2,2,2,1.0,True
Pulse shaping,7,7,7,7,7,7,1.0,True
Radiographic testing,7,7,7,7,7,7,1.0,True
Taphonomy,10,10,2,10,10,10,0.8,True
Software requirements specification,5,5,5,5,5,5,1.0,True
Pollinator,2,2,2,2,2,2,1.0,True
Fluctuating asymmetry,2,2,2,2,2,2,1.0,True
Nous,15,15,15,15,15,15,1.0,False
Auditory fatigue,14,14,14,14,14,14,1.0,True
Standardized mortality ratio,14,14,14,14,14,14,1.0,True
Fuzzy electronics,7,7,7,7,7,7,1.0,True
Magnetic radiation reaction force,16,16,16,16,16,16,1.0,True
Relation algebra,13,13,13,13,13,13,1.0,True
Two-alternative forced choice,18,18,18,18,18,18,1.0,True
Seasonal breeder,2,2,2,2,2,2,1.0,True
Graded bedding,10,10,10,10,10,10,1.0,True
Two-sided Laplace transform,13,13,13,13,13,13,1.0,True
Richardson extrapolation,13,13,13,13,13,13,1.0,True
Monaural,7,16,7,16,16,16,0.6,True
Cosmochemistry,4,4,4,4,4,4,1.0,True
Provirus,2,2,2,2,2,2,1.0,True
Value theory,15,15,15,15,15,15,1.0,True
Dissociation (chemistry),4,4,4,4,4,4,1.0,True
Privacy policy,5,5,3,5,3,5,0.6,True
Parallel thinking,15,15,18,18,18,18,0.6,True
Sulfonylurea receptor,14,2,14,14,14,14,0.8,True
Bracketing (phenomenology),15,15,15,15,15,15,1.0,True
Atomic force microscopy,12,16,16,16,16,16,0.8,True
Repeated measures design,18,18,18,18,18,18,1.0,True
Auditory learning,18,18,18,18,18,18,1.0,True
Diophantine approximation,13,13,13,13,13,13,1.0,True
Interplanetary magnetic field,16,16,16,16,16,16,1.0,True
Description logic,5,5,5,5,5,5,1.0,True
Induction coil,7,7,16,16,16,16,0.6,True
Elementary particle,16,16,16,16,16,16,1.0,True
Nested set model,13,5,5,5,5,5,0.8,True
Coppicing,8,8,8,8,8,8,1.0,True
Dicentric chromosome,2,2,2,2,2,2,1.0,True
Lipid bilayer fusion,2,2,2,2,2,2,1.0,True
Aerobic exercise,14,14,14,14,14,14,1.0,True
Vascular endothelial growth factor C,14,2,14,2,14,14,0.6,True
Rich Internet application,5,5,5,5,5,5,1.0,True
Epigeal,2,2,2,2,2,2,1.0,True
Farmer cheese,3,12,4,4,2,4,0.4,True
Analytic reasoning,15,15,15,15,15,15,1.0,True
Cellular neuroscience,2,2,2,2,2,2,1.0,True
Noisy-channel coding theorem,5,5,5,13,5,5,0.8,True
Functional divergence,2,2,2,2,2,2,1.0,True
Error detection and correction,5,5,5,5,5,5,1.0,True
Online codes,5,5,5,5,5,5,1.0,True
Court of equity,11,11,17,17,17,17,0.6,True
Gyrator,7,7,7,7,7,7,1.0,True
Space charge,16,16,16,16,16,16,1.0,True
Sigma-1 receptor,14,2,14,14,14,14,0.8,True
Scientific realism,15,15,15,15,15,15,1.0,True
Sewage farm,8,8,8,8,8,8,1.0,True
Investment strategy,3,3,6,6,3,3,0.6,True
Aristocracy (class),11,19,17,19,19,19,0.6,True
Multimeter,7,7,7,7,7,7,1.0,True
Basketball,11,19,19,19,19,19,0.8,True
In vivo magnetic resonance spectroscopy,14,14,14,14,14,14,1.0,True
Sterile neutrino,16,16,16,16,16,16,1.0,True
Ground effect (cars),7,7,16,7,7,7,0.8,True
Self-organized criticality,16,16,16,16,16,16,1.0,True
Robotic surgery,14,14,14,14,14,14,1.0,True
Exhaust gas recirculation,7,7,8,7,7,7,0.8,True
Service life,7,7,7,7,7,7,1.0,True
Environmental niche modelling,8,8,8,8,8,8,1.0,True
Quadrupole mass analyzer,4,16,16,16,16,16,0.8,True
Bacterial conjugation,2,2,2,2,2,2,1.0,True
Chemoreceptor,2,2,2,2,2,2,1.0,True
Smooth pursuit,14,2,18,18,18,18,0.6,True
Resource depletion,8,8,8,8,8,8,1.0,True
Trapezoid graph,13,5,13,13,13,13,0.8,True
Multiple edges,13,13,13,13,5,13,0.8,True
Valence band,16,16,16,16,16,16,1.0,True
Richards equation,8,8,8,7,8,8,0.8,True
Matrix representation,13,13,13,13,13,13,1.0,True
Similarity (geometry),13,13,13,13,13,13,1.0,True
Universal history,11,11,11,11,11,11,1.0,True
Sieve tube element,2,2,2,2,2,2,1.0,True
Dirichlet conditions,13,13,13,13,13,13,1.0,True
Seriation (archaeology),11,11,11,11,11,11,1.0,True
